message,label
Don't forget about the team meeting at 3 PM. We'll discuss Q4 targets.,ham
The dog needs to go to the vet for his annual checkup. Can you take him?,ham
Thanks for your help with the report. I really appreciate it! Cheers!,ham
FINAL NOTICE! Your computer is running slow. Download our optimizer for instant speed boost!,spam
You've been chosen for an exclusive credit card with $500 limit. Pre-approved!,spam
"Congratulations on the promotion! You definitely deserved it. By the way, the coffee machine is fixed.",ham
LIMITED TIME OFFER! Your Microsoft subscription is expiring. Renew now to avoid losing access: http://bit.ly/xyz123,spam
URGENT: Wire transfer of $100 received in your name. Confirm identity to release funds.,spam
Please find attached the invoice for last month's services.,ham
URGENT! Claim your free trial of weight loss pills today! No credit card required.,spam
Hot singles in your area are waiting to meet you! Click here to join free.,spam
Adult content: Explicit material waiting for you. Click to view now.,spam
Your inheritance of $5000 is ready. Contact our lawyer to process your claim.,spam
Please find attached the invoice for last month's services.,ham
The new office space looks amazing! Have you seen the rooftop terrace?,ham
"Dear customer, your Citibank card ending in 4532 has unusual activity. Call us now.",spam
The neighbors are having a party this Saturday. We're invited!,ham
Free trial expired. Update your payment to continue using Microsoft.,spam
WARNING! Your inheritance of $50000 is ready. Contact our lawyer to process your claim.,spam
Reminder: your dentist appointment is tomorrow at 10 AM.,ham
The AC in the conference room is broken again. I've filed a maintenance request.,ham
Congratulations on the promotion! You definitely deserved it. Talk soon!,ham
We should catch up soon. It's been ages since we last hung out! Have a great evening!,ham
VERIFY YOUR ACCOUNT! SECURITY ALERT: Someone tried to log into your account. Reset password now.,spam
"We should catch up soon. It's been ages since we last hung out! By the way, the coffee machine is fixed.",ham
LIMITED TIME OFFER! You've received a confidential document. Sign in with your email to view it.,spam
I'll be working from home tomorrow. You can reach me on Slack or email.,ham
Reminder: team lunch is on Friday. We're going to that Italian place.,ham
Let's schedule a call to discuss the new feature requirements. Cheers!,ham
"Movie night tonight? I was thinking we could watch that new thriller. By the way, the coffee machine is fixed.",ham
Meet beautiful women from Eastern Europe. Join our dating site free today!,spam
The quarterly report is due next week. I'll need your section by Monday.,ham
WINNER! Attention: Your tax refund of $50000 is pending. Submit your details now.,spam
I need to renew my passport. Do you know how long it takes?,ham
The flight is confirmed for July 15th. I'll forward you the itinerary.,ham
VERIFY YOUR ACCOUNT! Free iPhone giveaway! Be one of the first 100 to register and win!,spam
Can you help me move this Saturday? I'll buy pizza and beer. PS: Don't forget to submit your timesheet.,ham
The flight is confirmed for July 15th. I'll forward you the itinerary. Have a great evening!,ham
WARNING! FINAL WARNING: Pay your outstanding balance of $1000000 or face legal action.,spam
Your lottery ticket has won $5000! Contact our claims department immediately.,spam
Can you review the document I shared and provide feedback by end of day?,ham
FINAL NOTICE! Shocking news: Celebrity reveals weight loss secret. Doctors hate this trick!,spam
Hot singles in your area are waiting to meet you! Click here to join free.,spam
We should catch up soon. It's been ages since we last hung out!,ham
Get a diploma from a prestigious university! No classes required. Apply today.,spam
You qualify for a government grant of $500. No repayment required!,spam
The new office space looks amazing! Have you seen the rooftop terrace? Have a great evening!,ham
The code deployment went smoothly. All tests are passing in production. Let me know your thoughts when you get a chance.,ham
I've attached the updated spreadsheet. Let me know if the numbers look right.,ham
Don't forget about the team meeting at 3 PM. We'll discuss Q4 targets. See you at the standup tomorrow.,ham
I'll be working from home tomorrow. You can reach me on Slack or email.,ham
EXCLUSIVE OFFER! Make $1000 per week working from home! No experience needed. Start today!,spam
You've received a confidential document. Sign in with your email to view it.,spam
The quarterly report is due next week. I'll need your section by Monday.,ham
Sorry I missed your call. I was in a meeting. What did you need? Looking forward to hearing from you.,ham
Can you send me the WiFi password? I'm at the office and can't connect. See you at the standup tomorrow.,ham
Free iPhone giveaway! Be one of the first 100 to register and win!,spam
"CLAIM YOUR PRIZE! Cheap designer watches, handbags, and shoes. 90% off retail prices!",spam
Please find attached the invoice for last month's services.,ham
Can we reschedule our 1:1 to Thursday? I have a conflict on Wednesday.,ham
Important: Your package could not be delivered. Confirm your address here: http://update-now.net/confirm,spam
"I'll be working from home tomorrow. You can reach me on Slack or email. By the way, the coffee machine is fixed.",ham
I'll be on vacation next week. Sarah will handle my tasks while I'm away.,ham
Let's schedule a call to discuss the new feature requirements.,ham
ACT NOW! Reduce your mortgage payments by 50%! Call now for a free consultation.,spam
Your computer is running slow. Download our optimizer for instant speed boost!,spam
IMPORTANT NOTICE! Your email has been selected in our annual draw! You've won a brand new car!,spam
I finished reading that book you recommended. It was really good! PS: Don't forget to submit your timesheet.,ham
"Dear customer, your Chase card ending in 4532 has unusual activity. Call us now.",spam
"FINAL NOTICE! Hi, I'm a Nigerian prince and I need your help to transfer $100. You'll get 30%.",spam
FINAL NOTICE! Exclusive deal just for you! Buy one get one free on all anti-aging cream. Shop now!,spam
You are one step away from financial freedom! Learn our secret trading strategy.,spam
Claim your free trial of smartwatch today! No credit card required.,spam
ACT NOW! Act now! Lose 28 pounds in 28 days with this miracle pill. Order today!,spam
FREE! Your lottery ticket has won $100! Contact our claims department immediately.,spam
I'm thinking of getting a new laptop. Any suggestions?,ham
The project deadline has been extended to next Friday. Let me know if you need help. PS: Don't forget to submit your timesheet.,ham
I've attached the updated spreadsheet. Let me know if the numbers look right. Cheers!,ham
WINNER! You have been selected for a special offer! Get weight loss pills for FREE. Limited time only!,spam
"Dear customer, your Chase card ending in 4532 has unusual activity. Call us now.",spam
Reminder: team lunch is on Friday. We're going to that Italian place. Looking forward to hearing from you.,ham
Get a diploma from a prestigious university! No classes required. Apply today.,spam
FREE! FINAL NOTICE: Your domain name will be deleted unless you renew immediately.,spam
Can you send me the WiFi password? I'm at the office and can't connect. Cheers!,ham
Just finished the sprint retrospective notes. Sharing with the team now. Let me know your thoughts when you get a chance.,ham
Don't forget about the team meeting at 3 PM. We'll discuss Q4 targets. Hope your week is going well!,ham
Just saw the news about the company merger. What do you think about it? Cheers!,ham
Get rich quick! Follow our simple 3-step system to make $5000 weekly.,spam
ALERT! Your Netflix subscription is expiring. Renew now to avoid losing access: http://tinyurl.com/abc456,spam
Great presentation today! The client seemed really impressed with the proposal. Have a great evening!,ham
Your Apple account has been locked. Click here to unlock: http://secure-verify.com/login,spam
Important: Your package could not be delivered. Confirm your address here: http://update-now.net/confirm,spam
Just checking in — how are you feeling? I hope you're getting better.,ham
Get rich quick! Follow our simple 3-step system to make $10000 weekly.,spam
Movie night tonight? I was thinking we could watch that new thriller.,ham
"Hey, are you available for lunch tomorrow? I was thinking we could try that new restaurant. Looking forward to hearing from you.",ham
CONGRATULATIONS! Hot singles in your area are waiting to meet you! Click here to join free.,spam
"Cheap designer watches, handbags, and shoes. 90% off retail prices!",spam
SECURITY UPDATE! URGENT: Wire transfer of $500 received in your name. Confirm identity to release funds.,spam
Thanks for your help with the report. I really appreciate it!,ham
Sorry I missed your call. I was in a meeting. What did you need?,ham
Thanks for the recommendation letter. It means a lot to me.,ham
"The dog needs to go to the vet for his annual checkup. Can you take him? By the way, the coffee machine is fixed.",ham
Thanks for your help with the report. I really appreciate it! Have a great evening!,ham
Reminder: team lunch is on Friday. We're going to that Italian place. Cheers!,ham
FINAL NOTICE: Your domain name will be deleted unless you renew immediately.,spam
I'll be working from home tomorrow. You can reach me on Slack or email. Cheers!,ham
Free trial expired. Update your payment to continue using Google.,spam
Mom wants to know if you're coming for Thanksgiving dinner.,ham
"SPECIAL PROMOTION! Cheap designer watches, handbags, and shoes. 90% off retail prices!",spam
WARNING! Meet beautiful women from Eastern Europe. Join our dating site free today!,spam
Mom wants to know if you're coming for Thanksgiving dinner. PS: Don't forget to submit your timesheet.,ham
DON'T MISS OUT! Your Apple account has been locked. Click here to unlock: http://update-now.net/confirm,spam
Your inheritance of $10000 is ready. Contact our lawyer to process your claim.,spam
Happy birthday! Hope you have an amazing day. Let's celebrate this weekend!,ham
SPECIAL PROMOTION! Your Amazon subscription is expiring. Renew now to avoid losing access: http://secure-verify.com/login,spam
Your Amazon account has been locked. Click here to unlock: http://update-now.net/confirm,spam
Just saw the news about the company merger. What do you think about it? Looking forward to hearing from you.,ham
EXCLUSIVE OFFER! Adult content: Explicit material waiting for you. Click to view now.,spam
Double your bitcoin investment in 24 hours! Guaranteed returns. Invest now!,spam
FINAL NOTICE! Make $100 per week working from home! No experience needed. Start today!,spam
Just finished the sprint retrospective notes. Sharing with the team now.,ham
URGENT: Your account has been compromised. Verify your identity immediately at http://update-now.net/confirm,spam
We should catch up soon. It's been ages since we last hung out! Looking forward to hearing from you.,ham
EXCLUSIVE OFFER! URGENT: Wire transfer of $500 received in your name. Confirm identity to release funds.,spam
ACTION REQUIRED! Get a free vacation to the Bahamas! Just complete a short survey to qualify.,spam
Your PayPal account has been locked. Click here to unlock: http://prize-claim.org/winner,spam
The neighbors are having a party this Saturday. We're invited! Hope your week is going well!,ham
I'll be on vacation next week. Sarah will handle my tasks while I'm away.,ham
The gym is offering a discount for annual memberships. Interested? Talk soon!,ham
The yoga class starts at 7 AM. Want to join me tomorrow? Let me know your thoughts when you get a chance.,ham
"Don't forget about the team meeting at 3 PM. We'll discuss Q4 targets. Also, did you check the latest pull request?",ham
Reduce your mortgage payments by 50%! Call now for a free consultation.,spam
The kids' school play is next Thursday at 6 PM. Can you make it? Hope your week is going well!,ham
The dog needs to go to the vet for his annual checkup. Can you take him?,ham
"VERIFY YOUR ACCOUNT! Cheap designer watches, handbags, and shoes. 90% off retail prices!",spam
I'm thinking of getting a new laptop. Any suggestions? PS: Don't forget to submit your timesheet.,ham
The neighbors are having a party this Saturday. We're invited!,ham
WINNER! FINAL NOTICE: Your domain name will be deleted unless you renew immediately.,spam
I'll be working from home tomorrow. You can reach me on Slack or email.,ham
Important: Your package could not be delivered. Confirm your address here: http://prize-claim.org/winner,spam
Please find attached the invoice for last month's services.,ham
Investment opportunity: 500% returns guaranteed. Minimum investment just $1000000.,spam
I've attached the updated spreadsheet. Let me know if the numbers look right. Looking forward to hearing from you.,ham
We should catch up soon. It's been ages since we last hung out! Looking forward to hearing from you.,ham
CONGRATULATIONS! You've been chosen for an exclusive credit card with $1000 limit. Pre-approved!,spam
I'm thinking of getting a new laptop. Any suggestions?,ham
Can you help me move this Saturday? I'll buy pizza and beer. Cheers!,ham
SECURITY UPDATE! Hot singles in your area are waiting to meet you! Click here to join free.,spam
VERIFY YOUR ACCOUNT! Congratulations! You've won a $500 gift card. Click here to claim now!,spam
Reminder: team lunch is on Friday. We're going to that Italian place. Cheers!,ham
Let's schedule a call to discuss the new feature requirements. Looking forward to hearing from you.,ham
The AC in the conference room is broken again. I've filed a maintenance request. See you at the standup tomorrow.,ham
Mom wants to know if you're coming for Thanksgiving dinner. Looking forward to hearing from you.,ham
Limited time: Get premium PayPal for 90% off. Use code SAVE90 at checkout.,spam
Your email has been selected in our annual draw! You've won a brand new car!,spam
The AC in the conference room is broken again. I've filed a maintenance request.,ham
"Cheap designer watches, handbags, and shoes. 90% off retail prices!",spam
Claim your free trial of VPN service today! No credit card required.,spam
"VERIFY YOUR ACCOUNT! Congratulations! You're our 1,000,000th visitor. Claim your prize now!",spam
The project deadline has been extended to next Friday. Let me know if you need help.,ham
Your Amazon account has been locked. Click here to unlock: http://secure-verify.com/login,spam
SECURITY UPDATE! You qualify for a government grant of $1000000. No repayment required!,spam
Your package arrived today. I left it on the kitchen counter.,ham
Sorry I missed your call. I was in a meeting. What did you need?,ham
URGENT: Your account has been compromised. Verify your identity immediately at http://tinyurl.com/abc456,spam
DON'T MISS OUT! Your Amazon account has been locked. Click here to unlock: http://bit.ly/xyz123,spam
SPECIAL PROMOTION! Claim your free trial of smartwatch today! No credit card required.,spam
Your lottery ticket has won $1000000! Contact our claims department immediately.,spam
Claim your free trial of VPN service today! No credit card required.,spam
Can we reschedule our 1:1 to Thursday? I have a conflict on Wednesday.,ham
I'll be on vacation next week. Sarah will handle my tasks while I'm away.,ham
I need to renew my passport. Do you know how long it takes?,ham
WINNER! Shocking news: Celebrity reveals weight loss secret. Doctors hate this trick!,spam
Please find attached the invoice for last month's services. PS: Don't forget to submit your timesheet.,ham
FREE! Get a diploma from a prestigious university! No classes required. Apply today.,spam
You have been selected for a special offer! Get brain supplement for FREE. Limited time only!,spam
Get a free vacation to the Bahamas! Just complete a short survey to qualify.,spam
WINNER! Your Amazon subscription is expiring. Renew now to avoid losing access: http://secure-verify.com/login,spam
The quarterly report is due next week. I'll need your section by Monday.,ham
"The dog needs to go to the vet for his annual checkup. Can you take him? By the way, the coffee machine is fixed.",ham
CLAIM YOUR PRIZE! Limited time: Get premium Apple for 90% off. Use code SAVE90 at checkout.,spam
You have been selected for a special offer! Get smartwatch for FREE. Limited time only!,spam
I've attached the updated spreadsheet. Let me know if the numbers look right. PS: Don't forget to submit your timesheet.,ham
Your PayPal account has been locked. Click here to unlock: http://secure-verify.com/login,spam
SECURITY UPDATE! Claim your free trial of brain supplement today! No credit card required.,spam
Your email has been selected in our annual draw! You've won a brand new car!,spam
Reminder: team lunch is on Friday. We're going to that Italian place. Cheers!,ham
Can you send me the WiFi password? I'm at the office and can't connect. Hope your week is going well!,ham
Reminder: team lunch is on Friday. We're going to that Italian place. See you at the standup tomorrow.,ham
SECURITY ALERT: Someone tried to log into your account. Reset password now.,spam
Important: Your package could not be delivered. Confirm your address here: http://prize-claim.org/winner,spam
Just finished the sprint retrospective notes. Sharing with the team now. Looking forward to hearing from you.,ham
WARNING! FINAL WARNING: Pay your outstanding balance of $50000 or face legal action.,spam
Could you pick up some groceries on your way home? We need milk and bread. PS: Don't forget to submit your timesheet.,ham
URGENT! URGENT: Wire transfer of $1000000 received in your name. Confirm identity to release funds.,spam
Please find attached the invoice for last month's services. Looking forward to hearing from you.,ham
Can you send me the WiFi password? I'm at the office and can't connect.,ham
Let's brainstorm ideas for the hackathon. I'm thinking something with AI. Cheers!,ham
Act now! Lose 29 pounds in 29 days with this miracle pill. Order today!,spam
"Hey, are you available for lunch tomorrow? I was thinking we could try that new restaurant. Cheers!",ham
WARNING: Virus detected on your device. Download our security tool immediately.,spam
I need to renew my passport. Do you know how long it takes? Hope your week is going well!,ham
ALERT! Your email has been selected in our annual draw! You've won a brand new car!,spam
"DON'T MISS OUT! Dear winner, you are the lucky recipient of $5000. Send your bank details to claim.",spam
The kids' school play is next Thursday at 6 PM. Can you make it? Hope your week is going well!,ham
WARNING! Your inheritance of $100 is ready. Contact our lawyer to process your claim.,spam
Your email has been selected in our annual draw! You've won a brand new car!,spam
"Hey, are you available for lunch tomorrow? I was thinking we could try that new restaurant. Have a great evening!",ham
Investment opportunity: 500% returns guaranteed. Minimum investment just $100.,spam
Lose weight fast without diet or exercise! Try this one weird trick.,spam
"Movie night tonight? I was thinking we could watch that new thriller. By the way, the coffee machine is fixed.",ham
SECURITY UPDATE! Get a free vacation to the Bahamas! Just complete a short survey to qualify.,spam
Thanks for your help with the report. I really appreciate it!,ham
I loved the photos from your trip! Japan looks absolutely beautiful. Have a great evening!,ham
Act now! Lose 14 pounds in 14 days with this miracle pill. Order today!,spam
I loved the photos from your trip! Japan looks absolutely beautiful.,ham
You've been pre-approved for a loan of $1000. Low interest rates! Apply now.,spam
"The dog needs to go to the vet for his annual checkup. Can you take him? Also, did you check the latest pull request?",ham
Can we reschedule our 1:1 to Thursday? I have a conflict on Wednesday. Talk soon!,ham
EXCLUSIVE OFFER! You've received a confidential document. Sign in with your email to view it.,spam
Important: Your package could not be delivered. Confirm your address here: http://bit.ly/xyz123,spam
Don't forget about the team meeting at 3 PM. We'll discuss Q4 targets.,ham
"I loved the photos from your trip! Japan looks absolutely beautiful. By the way, the coffee machine is fixed.",ham
"URGENT! Hi, I'm a Nigerian prince and I need your help to transfer $100. You'll get 30%.",spam
Just checking in — how are you feeling? I hope you're getting better.,ham
URGENT! WARNING: Virus detected on your device. Download our security tool immediately.,spam
Let's brainstorm ideas for the hackathon. I'm thinking something with AI.,ham
Great presentation today! The client seemed really impressed with the proposal. Looking forward to hearing from you.,ham
Can we reschedule our 1:1 to Thursday? I have a conflict on Wednesday. Let me know your thoughts when you get a chance.,ham
ALERT: Your Citibank account will be suspended unless you update your information now.,spam
URGENT: Your account has been compromised. Verify your identity immediately at http://update-now.net/confirm,spam
LIMITED TIME OFFER! Your Amazon subscription is expiring. Renew now to avoid losing access: http://update-now.net/confirm,spam
Mom wants to know if you're coming for Thanksgiving dinner.,ham
Could you pick up some groceries on your way home? We need milk and bread.,ham
The AC in the conference room is broken again. I've filed a maintenance request. Let me know your thoughts when you get a chance.,ham
SPECIAL PROMOTION! You are one step away from financial freedom! Learn our secret trading strategy.,spam
I've attached the updated spreadsheet. Let me know if the numbers look right.,ham
Let's brainstorm ideas for the hackathon. I'm thinking something with AI.,ham
Please find attached the invoice for last month's services. PS: Don't forget to submit your timesheet.,ham
"SPECIAL PROMOTION! Hi, I'm a Nigerian prince and I need your help to transfer $500. You'll get 30%.",spam
"Congratulations! You're our 1,000,000th visitor. Claim your prize now!",spam
Reminder: your dentist appointment is tomorrow at 10 AM.,ham
VERIFY YOUR ACCOUNT! ALERT: Your Bank of America account will be suspended unless you update your information now.,spam
"I finished reading that book you recommended. It was really good! By the way, the coffee machine is fixed.",ham
"I loved the photos from your trip! Japan looks absolutely beautiful. By the way, the coffee machine is fixed.",ham
Free iPhone giveaway! Be one of the first 100 to register and win!,spam
The project deadline has been extended to next Friday. Let me know if you need help.,ham
I finished reading that book you recommended. It was really good!,ham
CONGRATULATIONS! Claim your free trial of weight loss pills today! No credit card required.,spam
WINNER! FINAL WARNING: Pay your outstanding balance of $5000 or face legal action.,spam
"Do you know any good plumbers? Our kitchen sink is leaking again. Also, did you check the latest pull request?",ham
Attention: Your tax refund of $500 is pending. Submit your details now.,spam
ACT NOW! You've been pre-approved for a loan of $100. Low interest rates! Apply now.,spam
The neighbors are having a party this Saturday. We're invited! Talk soon!,ham
Can we reschedule our 1:1 to Thursday? I have a conflict on Wednesday.,ham
"Hey, are you available for lunch tomorrow? I was thinking we could try that new restaurant.",ham
"The yoga class starts at 7 AM. Want to join me tomorrow? Also, did you check the latest pull request?",ham
Adult content: Explicit material waiting for you. Click to view now.,spam
You've received a confidential document. Sign in with your email to view it.,spam
WARNING! Attention: Your tax refund of $10000 is pending. Submit your details now.,spam
The neighbors are having a party this Saturday. We're invited! Looking forward to hearing from you.,ham
"Just wanted to follow up on our meeting yesterday. Can you send me the notes? Also, did you check the latest pull request?",ham
VERIFY YOUR ACCOUNT! Claim your free trial of anti-aging cream today! No credit card required.,spam
ALERT! Free trial expired. Update your payment to continue using Netflix.,spam
VERIFY YOUR ACCOUNT! Your inheritance of $10000 is ready. Contact our lawyer to process your claim.,spam
Reminder: your dentist appointment is tomorrow at 10 AM.,ham
"Hey, are you available for lunch tomorrow? I was thinking we could try that new restaurant. Cheers!",ham
Claim your free trial of weight loss pills today! No credit card required.,spam
The dog needs to go to the vet for his annual checkup. Can you take him?,ham
Could you pick up some groceries on your way home? We need milk and bread.,ham
Your package arrived today. I left it on the kitchen counter. See you at the standup tomorrow.,ham
"LIMITED TIME OFFER! Congratulations! You're our 1,000,000th visitor. Claim your prize now!",spam
ALERT! Lose weight fast without diet or exercise! Try this one weird trick.,spam
Do you know any good plumbers? Our kitchen sink is leaking again.,ham
Please find attached the invoice for last month's services.,ham
The weather looks great this weekend. Want to go hiking?,ham
CONGRATULATIONS! Double your bitcoin investment in 24 hours! Guaranteed returns. Invest now!,spam
I'll be on vacation next week. Sarah will handle my tasks while I'm away. Have a great evening!,ham
DON'T MISS OUT! Earn extra cash by completing simple surveys. Sign up now and get a $1000 bonus!,spam
The new office space looks amazing! Have you seen the rooftop terrace?,ham
The quarterly report is due next week. I'll need your section by Monday.,ham
Movie night tonight? I was thinking we could watch that new thriller. Have a great evening!,ham
"Congratulations on the promotion! You definitely deserved it. By the way, the coffee machine is fixed.",ham
WARNING! Your Amazon account has been locked. Click here to unlock: http://bit.ly/xyz123,spam
Do you know any good plumbers? Our kitchen sink is leaking again.,ham
Your lottery ticket has won $10000! Contact our claims department immediately.,spam
"Dear winner, you are the lucky recipient of $10000. Send your bank details to claim.",spam
Your email has been selected in our annual draw! You've won a brand new car!,spam
Shocking news: Celebrity reveals weight loss secret. Doctors hate this trick!,spam
Thanks for the recommendation letter. It means a lot to me. See you at the standup tomorrow.,ham
ALERT! Your Microsoft subscription is expiring. Renew now to avoid losing access: http://update-now.net/confirm,spam
The project deadline has been extended to next Friday. Let me know if you need help.,ham
DON'T MISS OUT! ALERT: Your HSBC account will be suspended unless you update your information now.,spam
"Dear customer, your Wells Fargo card ending in 4532 has unusual activity. Call us now.",spam
FINAL NOTICE! You have been selected for a special offer! Get brain supplement for FREE. Limited time only!,spam
"Hey, are you available for lunch tomorrow? I was thinking we could try that new restaurant.",ham
Your email has been selected in our annual draw! You've won a brand new car!,spam
LIMITED TIME OFFER! WARNING: Virus detected on your device. Download our security tool immediately.,spam
Reminder: team lunch is on Friday. We're going to that Italian place. Let me know your thoughts when you get a chance.,ham
CLAIM YOUR PRIZE! Get a diploma from a prestigious university! No classes required. Apply today.,spam
DON'T MISS OUT! Your Google subscription is expiring. Renew now to avoid losing access: http://prize-claim.org/winner,spam
I need to renew my passport. Do you know how long it takes? Have a great evening!,ham
Please find attached the invoice for last month's services.,ham
The kids' school play is next Thursday at 6 PM. Can you make it?,ham
FREE! Your computer is running slow. Download our optimizer for instant speed boost!,spam
Are we still on for coffee this afternoon? I'll be at the usual place.,ham
CONGRATULATIONS! Meet beautiful women from Eastern Europe. Join our dating site free today!,spam
URGENT: Your account has been compromised. Verify your identity immediately at http://bit.ly/xyz123,spam
Movie night tonight? I was thinking we could watch that new thriller. See you at the standup tomorrow.,ham
Shocking news: Celebrity reveals weight loss secret. Doctors hate this trick!,spam
Let's brainstorm ideas for the hackathon. I'm thinking something with AI.,ham
The gym is offering a discount for annual memberships. Interested?,ham
Free trial expired. Update your payment to continue using Microsoft.,spam
Shocking news: Celebrity reveals weight loss secret. Doctors hate this trick!,spam
Reduce your mortgage payments by 50%! Call now for a free consultation.,spam
Just finished the sprint retrospective notes. Sharing with the team now.,ham
Can we reschedule our 1:1 to Thursday? I have a conflict on Wednesday. Hope your week is going well!,ham
ALERT! Your Google subscription is expiring. Renew now to avoid losing access: http://bit.ly/xyz123,spam
Hot singles in your area are waiting to meet you! Click here to join free.,spam
Mom wants to know if you're coming for Thanksgiving dinner. Cheers!,ham
Did you see the game last night? What an incredible finish!,ham
Movie night tonight? I was thinking we could watch that new thriller. Let me know your thoughts when you get a chance.,ham
Thanks for your help with the report. I really appreciate it!,ham
You have been selected for a special offer! Get weight loss pills for FREE. Limited time only!,spam
DON'T MISS OUT! URGENT: Wire transfer of $500 received in your name. Confirm identity to release funds.,spam
Join millions of satisfied users! Try VPN service risk-free for 30 days.,spam
FINAL WARNING: Pay your outstanding balance of $5000 or face legal action.,spam
FINAL WARNING: Pay your outstanding balance of $5000 or face legal action.,spam
You have been selected for a special offer! Get weight loss pills for FREE. Limited time only!,spam
Reminder: your dentist appointment is tomorrow at 10 AM. Let me know your thoughts when you get a chance.,ham
CLAIM YOUR PRIZE! Double your bitcoin investment in 24 hours! Guaranteed returns. Invest now!,spam
The quarterly report is due next week. I'll need your section by Monday.,ham
Hot singles in your area are waiting to meet you! Click here to join free.,spam
The project deadline has been extended to next Friday. Let me know if you need help. Hope your week is going well!,ham
Don't forget about the team meeting at 3 PM. We'll discuss Q4 targets. PS: Don't forget to submit your timesheet.,ham
"Hi, I'm a Nigerian prince and I need your help to transfer $5000. You'll get 30%.",spam
Reminder: your dentist appointment is tomorrow at 10 AM. Cheers!,ham
Just finished the sprint retrospective notes. Sharing with the team now.,ham
The code deployment went smoothly. All tests are passing in production.,ham
CONGRATULATIONS! Get a diploma from a prestigious university! No classes required. Apply today.,spam
"Reminder: team lunch is on Friday. We're going to that Italian place. By the way, the coffee machine is fixed.",ham
The project deadline has been extended to next Friday. Let me know if you need help.,ham
The weather looks great this weekend. Want to go hiking? Let me know your thoughts when you get a chance.,ham
Just wanted to follow up on our meeting yesterday. Can you send me the notes?,ham
"Dear winner, you are the lucky recipient of $10000. Send your bank details to claim.",spam
WARNING! Reduce your mortgage payments by 50%! Call now for a free consultation.,spam
"The AC in the conference room is broken again. I've filed a maintenance request. By the way, the coffee machine is fixed.",ham
"Did you see the game last night? What an incredible finish! Also, did you check the latest pull request?",ham
Shocking news: Celebrity reveals weight loss secret. Doctors hate this trick!,spam
IMPORTANT NOTICE! You are one step away from financial freedom! Learn our secret trading strategy.,spam
Happy birthday! Hope you have an amazing day. Let's celebrate this weekend!,ham
Lose weight fast without diet or exercise! Try this one weird trick.,spam
"Please find attached the invoice for last month's services. By the way, the coffee machine is fixed.",ham
Just saw the news about the company merger. What do you think about it? Hope your week is going well!,ham
I'll be working from home tomorrow. You can reach me on Slack or email. PS: Don't forget to submit your timesheet.,ham
"Dear customer, your Chase card ending in 4532 has unusual activity. Call us now.",spam
"Download free movies, music, and software. Unlimited access with premium membership!",spam
CONGRATULATIONS! Important: Your package could not be delivered. Confirm your address here: http://bit.ly/xyz123,spam
Adult content: Explicit material waiting for you. Click to view now.,spam
I loved the photos from your trip! Japan looks absolutely beautiful. Hope your week is going well!,ham
